Year	DoY	Hour	NEE	H	LE	Tair	rH	VPD	Ustar	Rg
2019.0	94.0	0.0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	0.5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	1.0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	1.5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	2.0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	2.5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	3.0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	3.5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	4.0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	4.5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	5.0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	5.5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	6.0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	6.5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	7.0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	7.5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	8.0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	8.5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	9.0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	9.5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	10.0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	10.5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2019.0	94.0	11.0	-9999	-9999	-9999	-9999	37.76455	17.517039999999998	-9999	-9999
2019.0	94.0	11.5	-1.98939	268.176	38.7527	21.35300000000001	38.59408	17.27628	0.404512	916.7163
2019.0	94.0	12.0	-1.97461	279.211	34.8414	21.973000000000013	37.3323	18.36988	0.426392	948.3024
2019.0	94.0	12.5	-1.82816	-9999	27.2679	22.474000000000046	35.09008	19.57216	0.477522	965.0438
2019.0	94.0	13.0	-1.61222	-9999	-9999	23.14100000000002	32.96499	21.14187	0.468337	980.9261
2019.0	94.0	13.5	-2.56866	-9999	55.5638	23.74000000000001	32.58868	21.86752	0.450968	949.3259
2019.0	94.0	14.0	-1.23252	-9999	40.3248	24.05800000000005	31.27904	22.72491	0.342177	883.2858
2019.0	94.0	14.5	-0.732116	-9999	0.0750516	24.448000000000036	29.98749	23.70638	0.359323	767.1231
2019.0	94.0	15.0	-0.99626	232.607	22.8946	24.335000000000036	29.16106	23.79937	0.447604	589.438
2019.0	94.0	15.5	-0.24619	191.046	24.9081	24.313000000000045	30.40487	23.36567	0.364388	509.0162
2019.0	94.0	16.0	0.870561	134.886	14.5505	24.062000000000012	31.54156	22.65764	0.2478699999999999	371.4554
2019.0	94.0	16.5	0.7677729999999999	91.8664	15.2877	24.120000000000005	32.62562	22.30445	0.287931	313.5178
2019.0	94.0	17.0	1.7486400000000002	80.1821	8.48431	23.982000000000028	33.39228	21.88275	0.282681	231.6205
2019.0	94.0	17.5	1.6461	45.1192	12.913	23.744000000000028	34.12704	21.36924	0.252533	174.6297
2019.0	94.0	18.0	2.2751	19.9834	-9999	23.349000000000046	35.38477	20.47672	0.181178	78.2197
2019.0	94.0	18.5	2.56945	-9999	6.37705	22.797000000000025	36.9054	19.34575	0.16054	22.46833
2019.0	94.0	19.0	2.71066	-9999	2.71351	21.966000000000008	40.68056	17.289559999999998	0.0965934	2.020424
2019.0	94.0	19.5	4.20065	-9.9494	6.89767	21.246000000000038	44.00322	15.59409	0.072617	-2.038308
2019.0	94.0	20.0	2.69829	-7.537380000000001	4.57911	21.075000000000045	43.69701	15.54034	0.107023	-1.461193
2019.0	94.0	20.5	2.35665	-12.7403	6.04961	21.12900000000002	43.57275	15.60695	0.2150409999999999	-1.59372
2019.0	94.0	21.0	2.85945	-10.5708	-9999	20.864000000000033	46.28796	14.59964	0.243721	-1.557673
2019.0	94.0	21.5	1.98788	-7.05397	7.16587	20.32000000000005	49.86133	13.16935	0.255361	-2.551775
2019.0	94.0	22.0	2.52615	-10.3076	3.39536	20.009000000000015	51.11026	12.60461	0.239467	-1.284925
2019.0	94.0	22.5	2.1343	-10.9266	19.0408	19.68300000000005	53.6374	11.72051	0.176978	-3.765023
2019.0	94.0	23.0	1.736	-9999	25.8731	18.324000000000012	61.53382	8.947637	0.18475	-6.829627
2019.0	94.0	23.5	-9999	-5.60222	16.1177	17.32800000000003	67.84605	7.039469	0.0767205	-4.61312
2019.0	95.0	0.0	1.55703	-9.58283	24.7124	16.91900000000004	71.52235	6.072674	0.137155	-4.021609
2019.0	95.0	0.5	2.51782	-18.4768	33.8873	16.760000000000048	70.0669	6.28756	0.224671	-4.482576
2019.0	95.0	1.0	-9999	-8.94323	16.3526	16.285000000000025	72.26485	5.695295	0.159098	-3.221831
2019.0	95.0	1.5	2.35008	-11.5749	21.8138	15.992999999999995	74.75678	5.023183	0.217701	-3.081991
2019.0	95.0	2.0	2.84785	-11.8408	23.1052	15.908000000000015	74.31938	5.13217	0.239138	-2.553565
2019.0	95.0	2.5	2.21568	-9.7128	16.0667	15.643000000000029	75.94445	4.734527	0.254085	-1.669855
2019.0	95.0	3.0	2.64974	-14.5121	14.1208	15.58400000000006	75.86111	4.739622	0.228369	-1.487569
2019.0	95.0	3.5	2.09092	-14.2128	8.09131	15.543000000000006	76.10454	4.677173	0.239067	-1.936314
2019.0	95.0	4.0	1.92472	-10.9091	1.53409	15.366000000000042	77.209	4.407839	0.169132	-2.196766
2019.0	95.0	4.5	2.24405	-11.3085	-0.125777	15.227000000000032	77.99649	4.218026	0.174735	-1.890465
2019.0	95.0	5.0	1.50264	-7.57378	-9999	15.307000000000016	78.54958	4.132867	0.169	-0.3564648
2019.0	95.0	5.5	1.61808	-1.39153	6.69862	15.486000000000047	78.71973	4.145905	0.0969651	-0.06072816
2019.0	95.0	6.0	2.28237	-1.17321	6.53642	15.504999999999995	79.53206	3.986554	0.0965268	-0.1356703
2019.0	95.0	6.5	2.00553	-0.057911	4.50842	15.581000000000017	79.91096	3.93616	0.0842611	1.603613
2019.0	95.0	7.0	-9999	0.67718	5.06846	15.802999999999997	80.21632	3.923514	0.0864072999999999	15.10643
2019.0	95.0	7.5	1.53579	4.37124	8.15933	16.148000000000025	80.09216	4.02198	0.0694007	50.50436
2019.0	95.0	8.0	1.55215	8.87658	21.7061	16.564999999999998	79.7658	4.178319	0.103999	66.8933
2019.0	95.0	8.5	1.56029	3.85993	15.8204	16.898000000000025	79.45878	4.359599	0.0859835	85.67757
2019.0	95.0	9.0	0.770397	23.0751	52.6985	17.43300000000005	77.6674	4.893529	0.15188	196.3581
2019.0	95.0	9.5	0.303883	30.6901	65.4346	17.810000000000002	75.20737	5.571033	0.202477	192.8183
2019.0	95.0	10.0	0.2021099999999999	48.7115	84.422	18.27800000000002	72.99915	6.23475	0.320753	318.9515
2019.0	95.0	10.5	-1.10119	64.6805	74.5068	18.529000000000053	71.9163	6.5925	0.347207	321.7278
2019.0	95.0	11.0	-1.01227	116.781	90.4811	19.545000000000016	69.50679	7.582212999999999	0.271007	720.1192
2019.0	95.0	11.5	-1.73311	167.051	94.8607	20.745000000000005	65.6146	9.178481	0.341053	814.1897
2019.0	95.0	12.0	-2.02889	198.222	81.1763	21.79600000000005	62.98265	10.46717	0.35988	872.739
2019.0	95.0	12.5	-2.30104	146.00799999999998	61.9011	22.05200000000002	60.4653	11.4826	0.335115	534.7166
2019.0	95.0	13.0	-2.41878	187.132	59.4234	22.954000000000065	57.49732	12.97202	0.324318	721.7617
2019.0	95.0	13.5	-2.9111	229.412	74.8969	23.621000000000038	55.08909	14.1929	0.4129779999999999	969.5514
2019.0	95.0	14.0	-1.42889	159.645	26.8181	23.971000000000004	55.06118	14.43522	0.34146	629.2413
